memory_regime,reform_type,probe_exploration,initial,at_100,at_500,first_below_10pct,auc
cumulative,neutral_reform,False,0.9222222222222223,0.8444444444444444,0.6888888888888889,,390.33333333333326
cumulative,neutral_reform,True,0.8722222222222222,0.4444444444444444,0.35,,215.8611111111111
cumulative,active_amends,False,0.8611111111111112,0.7666666666666667,0.6,,353.97222222222223
cumulative,active_amends,True,0.9055555555555556,0.3055555555555556,0.20555555555555555,,150.75
slow_update,neutral_reform,False,0.8944444444444445,0.8944444444444445,0.8944444444444445,,447.2222222222223
slow_update,neutral_reform,True,0.8555555555555555,0.8555555555555555,0.8555555555555555,,427.7777777777777
slow_update,active_amends,False,0.7833333333333333,0.7833333333333333,0.7833333333333333,,391.66666666666663
slow_update,active_amends,True,0.8222222222222222,0.8166666666666667,0.8166666666666667,,408.36111111111114
fast_update,neutral_reform,False,0.6944444444444444,0.6777777777777778,0.20555555555555555,,256.02777777777777
fast_update,neutral_reform,True,0.65,0.24444444444444444,0.016666666666666666,200.0,71.44444444444444
fast_update,active_amends,False,0.6888888888888889,0.6611111111111111,0.07222222222222222,500.0,204.55555555555554
fast_update,active_amends,True,0.7055555555555556,0.09444444444444444,0.0,100.0,48.72222222222222
