condition,first_threat_defensive_rate,first_threat_damage_rate,post_first_threat_defensive_rate,second_weaker_threat_defensive_rate,second_weaker_threat_damage_rate,post_second_threat_defensive_rate,mean_arousal_second_threat,mean_fatigue_second_threat,mean_pain_second_threat,mean_entropy_second_threat,history_amplification_index
closed_loop_body,0.9723666666666667,0.14623333333333333,0.37303333333333333,0.7692666666666667,0.10913333333333333,0.34646666666666665,0.7493580012591757,0.7268653329744859,0.2725932883589553,1.07897762906979,0.3962333333333333
no_body_feedback,0.8751333333333333,0.15626666666666666,0.3925666666666667,0.658,0.1156,0.3795,0.7392923166244753,0.7494751096872315,0.27184714774592167,1.321819668446038,0.26543333333333335
body_without_memory,0.9501666666666667,0.15523333333333333,0.24813333333333334,0.6382,0.12433333333333334,0.2451,0.7366149592922069,0.6755783518119187,0.29906726035054704,1.2956039952243577,0.3900666666666667
